sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0209	geotraces	GA02	JC057	1629547	637580	2011-03-05	20:56:00	-49.5475	-52.6885	10	south atlantic	A	epipelagic
S0210	geotraces	GA02	JC057	1629547	637574	2011-03-05	20:56:00	-49.5475	-52.6885	49	south atlantic	A	epipelagic
S0211	geotraces	GA02	JC057	1629582	637724	2011-03-06	19:40:00	-48.9358	-48.7933	11	south atlantic	A	epipelagic
S0212	geotraces	GA02	JC057	1629582	637718	2011-03-06	19:40:00	-48.9358	-48.7933	51	south atlantic	A	epipelagic
S0213	geotraces	GA02	JC057	1629582	637709	2011-03-06	19:40:00	-48.9358	-48.7933	150	south atlantic	A	epipelagic
S0214	geotraces	GA02	JC057	1629596	638012	2011-03-08	03:21:00	-46.907	-47.179	10	south atlantic	A	epipelagic
S0215	geotraces	GA02	JC057	1629596	638006	2011-03-08	03:21:00	-46.907	-47.179	51	south atlantic	A	epipelagic
S0216	geotraces	GA02	JC057	1629596	637997	2011-03-08	03:21:00	-46.907	-47.179	151	south atlantic	A	epipelagic
S0217	geotraces	GA02	JC057	1629610	638156	2011-03-09	03:22:00	-44.7117	-45.5265	10	south atlantic	A	epipelagic
S0218	geotraces	GA02	JC057	1629610	638150	2011-03-09	03:22:00	-44.7117	-45.5265	51	south atlantic	A	epipelagic
S0219	geotraces	GA02	JC057	1629610	638141	2011-03-09	03:22:00	-44.7117	-45.5265	149	south atlantic	A	epipelagic
